id,archetype_id,archetype,context,platform,hook_first3s_pattern,hook_example_in_context,structure,length_sec,cuts_in_first6s,color_tone,caption_style,tempo,sound,product_first_seen_sec,closing_type,why_it_works,chenme_fit_1to5,yakkiho_risk,basis,data_type
AD014,A03,ナイトルーティン ASMR,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,ポンプ音/蓋を開ける音を無音背景で。画は手元マクロ,ランプを点ける手→『おつかれ』,音→テクスチャ→塗布→灯りを落とす,15-30,2,暖色低照度・浅い被写界深度,極少（1〜2枚）,遅,実録SE中心、BGM極小,1-2,無言→ロゴ/英語1行,保存・リピート視聴が伸びる。アルゴリズムが保存を重視（2026）,5,低,GRWM/ASMR 30-45秒がK-beautyで最強フォーマット（Draper他）,型（公開レポート再構成）
AD015,A03,ナイトルーティン ASMR,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,ポンプ音/蓋を開ける音を無音背景で。画は手元マクロ,湯気/バブルの音→肩の力が抜ける,音→テクスチャ→塗布→灯りを落とす,15-30,2,暖色低照度・浅い被写界深度,極少（1〜2枚）,遅,実録SE中心、BGM極小,1-2,無言→ロゴ/英語1行,保存・リピート視聴が伸びる。アルゴリズムが保存を重視（2026）,5,低,GRWM/ASMR 30-45秒がK-beautyで最強フォーマット（Draper他）,型（公開レポート再構成）
AD016,A04,問題状態フック（Problem-state）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,『◯時間立ちっぱなし』など状況をテロップ1枚で,『3日でこれ』の肌アップ→巻き戻し,状況→共感→行動→気分の変化,12-15,3,現実寄り（昼）→暖色（夜）へ転調,短文・共感語,中→遅,足音/街音→静寂,5-7,英語1行,共感から入るが、身体変化の断定に流れやすい（要薬機）,4,高,adlibrary 8パターン：problem-state hook,型（公開レポート再構成）
AD017,A04,問題状態フック（Problem-state）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,『◯時間立ちっぱなし』など状況をテロップ1枚で,『今日8時間立ってた人』のテロップ+足元,状況→共感→行動→気分の変化,12-15,3,現実寄り（昼）→暖色（夜）へ転調,短文・共感語,中→遅,足音/街音→静寂,5-7,英語1行,共感から入るが、身体変化の断定に流れやすい（要薬機）,4,高,adlibrary 8パターン：problem-state hook,型（公開レポート再構成）
AD018,A04,問題状態フック（Problem-state）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,『◯時間立ちっぱなし』など状況をテロップ1枚で,クッションのパフ音→頬に1回,状況→共感→行動→気分の変化,12-15,3,現実寄り（昼）→暖色（夜）へ転調,短文・共感語,中→遅,足音/街音→静寂,5-7,英語1行,共感から入るが、身体変化の断定に流れやすい（要薬機）,4,高,adlibrary 8パターン：problem-state hook,型（公開レポート再構成）
AD019,A04,問題状態フック（Problem-state）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,『◯時間立ちっぱなし』など状況をテロップ1枚で,ランプを点ける手→『おつかれ』,状況→共感→行動→気分の変化,12-15,3,現実寄り（昼）→暖色（夜）へ転調,短文・共感語,中→遅,足音/街音→静寂,5-7,英語1行,共感から入るが、身体変化の断定に流れやすい（要薬機）,4,高,adlibrary 8パターン：problem-state hook,型（公開レポート再構成）
AD020,A04,問題状態フック（Problem-state）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,『◯時間立ちっぱなし』など状況をテロップ1枚で,湯気/バブルの音→肩の力が抜ける,状況→共感→行動→気分の変化,12-15,3,現実寄り（昼）→暖色（夜）へ転調,短文・共感語,中→遅,足音/街音→静寂,5-7,英語1行,共感から入るが、身体変化の断定に流れやすい（要薬機）,4,高,adlibrary 8パターン：problem-state hook,型（公開レポート再構成）
AD021,A05,テクスチャマクロ,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,クリームのアップ（とろ/伸び）を0秒,『3日でこれ』の肌アップ→巻き戻し,質感→手→肌→質感,8-12,2-3,白×商品色。高キー,なし〜1枚,遅,ASMR SE,0,ロゴ,『触りたい』欲求。保存と共有。言葉ゼロで国際化,5,低,K-beauty『texture shot』トレンド／ASMR overload,型（公開レポート再構成）
AD022,A05,テクスチャマクロ,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,クリームのアップ（とろ/伸び）を0秒,『今日8時間立ってた人』のテロップ+足元,質感→手→肌→質感,8-12,2-3,白×商品色。高キー,なし〜1枚,遅,ASMR SE,0,ロゴ,『触りたい』欲求。保存と共有。言葉ゼロで国際化,5,低,K-beauty『texture shot』トレンド／ASMR overload,型（公開レポート再構成）
AD023,A05,テクスチャマクロ,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,クリームのアップ（とろ/伸び）を0秒,クッションのパフ音→頬に1回,質感→手→肌→質感,8-12,2-3,白×商品色。高キー,なし〜1枚,遅,ASMR SE,0,ロゴ,『触りたい』欲求。保存と共有。言葉ゼロで国際化,5,低,K-beauty『texture shot』トレンド／ASMR overload,型（公開レポート再構成）
AD024,A05,テクスチャマクロ,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,クリームのアップ（とろ/伸び）を0秒,ランプを点ける手→『おつかれ』,質感→手→肌→質感,8-12,2-3,白×商品色。高キー,なし〜1枚,遅,ASMR SE,0,ロゴ,『触りたい』欲求。保存と共有。言葉ゼロで国際化,5,低,K-beauty『texture shot』トレンド／ASMR overload,型（公開レポート再構成）
AD025,A05,テクスチャマクロ,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,クリームのアップ（とろ/伸び）を0秒,湯気/バブルの音→肩の力が抜ける,質感→手→肌→質感,8-12,2-3,白×商品色。高キー,なし〜1枚,遅,ASMR SE,0,ロゴ,『触りたい』欲求。保存と共有。言葉ゼロで国際化,5,低,K-beauty『texture shot』トレンド／ASMR overload,型（公開レポート再構成）
AD026,A06,UGCテスティモニアル,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,自撮り正面『正直に言うね』,『3日でこれ』の肌アップ→巻き戻し,前置き→本音→使う→評価,15-30,2,自然光・無加工寄り,話し言葉の全文字幕,中,声のみ+微BGM,4-6,『気になったら』,信頼。だが効能を語りやすく薬機リスク大,3,高,UGC 36.8%（SociaVault）,型（公開レポート再構成）
AD027,A06,UGCテスティモニアル,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,自撮り正面『正直に言うね』,『今日8時間立ってた人』のテロップ+足元,前置き→本音→使う→評価,15-30,2,自然光・無加工寄り,話し言葉の全文字幕,中,声のみ+微BGM,4-6,『気になったら』,信頼。だが効能を語りやすく薬機リスク大,3,高,UGC 36.8%（SociaVault）,型（公開レポート再構成）
AD028,A06,UGCテスティモニアル,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,自撮り正面『正直に言うね』,クッションのパフ音→頬に1回,前置き→本音→使う→評価,15-30,2,自然光・無加工寄り,話し言葉の全文字幕,中,声のみ+微BGM,4-6,『気になったら』,信頼。だが効能を語りやすく薬機リスク大,3,高,UGC 36.8%（SociaVault）,型（公開レポート再構成）
AD029,A06,UGCテスティモニアル,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,自撮り正面『正直に言うね』,ランプを点ける手→『おつかれ』,前置き→本音→使う→評価,15-30,2,自然光・無加工寄り,話し言葉の全文字幕,中,声のみ+微BGM,4-6,『気になったら』,信頼。だが効能を語りやすく薬機リスク大,3,高,UGC 36.8%（SociaVault）,型（公開レポート再構成）
AD030,A06,UGCテスティモニアル,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,自撮り正面『正直に言うね』,湯気/バブルの音→肩の力が抜ける,前置き→本音→使う→評価,15-30,2,自然光・無加工寄り,話し言葉の全文字幕,中,声のみ+微BGM,4-6,『気になったら』,信頼。だが効能を語りやすく薬機リスク大,3,高,UGC 36.8%（SociaVault）,型（公開レポート再構成）
AD031,A07,比較フレーム（Split）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,左右分割：昼の慌ただしさ／夜の静けさ,『3日でこれ』の肌アップ→巻き戻し,対比を維持しながら並走,10-15,4,左＝寒色寄り／右＝暖色,中央に1語,速,左右で音を切替,右側0秒,英語1行,脳が差分を即認識。身体比較を避ければ安全,4,中,"split-screen トレンド（Later, Draper）",型（公開レポート再構成）
AD032,A07,比較フレーム（Split）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,左右分割：昼の慌ただしさ／夜の静けさ,『今日8時間立ってた人』のテロップ+足元,対比を維持しながら並走,10-15,4,左＝寒色寄り／右＝暖色,中央に1語,速,左右で音を切替,右側0秒,英語1行,脳が差分を即認識。身体比較を避ければ安全,4,中,"split-screen トレンド（Later, Draper）",型（公開レポート再構成）
AD033,A07,比較フレーム（Split）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,左右分割：昼の慌ただしさ／夜の静けさ,クッションのパフ音→頬に1回,対比を維持しながら並走,10-15,4,左＝寒色寄り／右＝暖色,中央に1語,速,左右で音を切替,右側0秒,英語1行,脳が差分を即認識。身体比較を避ければ安全,4,中,"split-screen トレンド（Later, Draper）",型（公開レポート再構成）
AD034,A07,比較フレーム（Split）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,左右分割：昼の慌ただしさ／夜の静けさ,ランプを点ける手→『おつかれ』,対比を維持しながら並走,10-15,4,左＝寒色寄り／右＝暖色,中央に1語,速,左右で音を切替,右側0秒,英語1行,脳が差分を即認識。身体比較を避ければ安全,4,中,"split-screen トレンド（Later, Draper）",型（公開レポート再構成）
AD035,A07,比較フレーム（Split）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,左右分割：昼の慌ただしさ／夜の静けさ,湯気/バブルの音→肩の力が抜ける,対比を維持しながら並走,10-15,4,左＝寒色寄り／右＝暖色,中央に1語,速,左右で音を切替,右側0秒,英語1行,脳が差分を即認識。身体比較を避ければ安全,4,中,"split-screen トレンド（Later, Draper）",型（公開レポート再構成）
AD036,A08,コメント返し,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,上部にコメント吹き出し『売り切れてた…』,『3日でこれ』の肌アップ→巻き戻し,質問→答え→デモ→締め,10-15,2,そのまま（既存投稿の延長）,吹き出し+回答,中,声+BGM,2-4,『通知ONで』,会話の中に置くと広告臭が消える。在庫切れの状況を「燃料」にできる,5,低,comment-led response がベスト形式群に含まれる（Draper）,型（公開レポート再構成）
AD037,A08,コメント返し,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,上部にコメント吹き出し『売り切れてた…』,『今日8時間立ってた人』のテロップ+足元,質問→答え→デモ→締め,10-15,2,そのまま（既存投稿の延長）,吹き出し+回答,中,声+BGM,2-4,『通知ONで』,会話の中に置くと広告臭が消える。在庫切れの状況を「燃料」にできる,5,低,comment-led response がベスト形式群に含まれる（Draper）,型（公開レポート再構成）
AD038,A08,コメント返し,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,上部にコメント吹き出し『売り切れてた…』,クッションのパフ音→頬に1回,質問→答え→デモ→締め,10-15,2,そのまま（既存投稿の延長）,吹き出し+回答,中,声+BGM,2-4,『通知ONで』,会話の中に置くと広告臭が消える。在庫切れの状況を「燃料」にできる,5,低,comment-led response がベスト形式群に含まれる（Draper）,型（公開レポート再構成）
AD039,A08,コメント返し,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,上部にコメント吹き出し『売り切れてた…』,ランプを点ける手→『おつかれ』,質問→答え→デモ→締め,10-15,2,そのまま（既存投稿の延長）,吹き出し+回答,中,声+BGM,2-4,『通知ONで』,会話の中に置くと広告臭が消える。在庫切れの状況を「燃料」にできる,5,低,comment-led response がベスト形式群に含まれる（Draper）,型（公開レポート再構成）
AD040,A08,コメント返し,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,上部にコメント吹き出し『売り切れてた…』,湯気/バブルの音→肩の力が抜ける,質問→答え→デモ→締め,10-15,2,そのまま（既存投稿の延長）,吹き出し+回答,中,声+BGM,2-4,『通知ONで』,会話の中に置くと広告臭が消える。在庫切れの状況を「燃料」にできる,5,低,comment-led response がベスト形式群に含まれる（Draper）,型（公開レポート再構成）
AD041,A09,GRWM／ナイト版 Get Un-ready,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,メイク落とし/髪をほどく冒頭,『3日でこれ』の肌アップ→巻き戻し,解除の連続→最後に脚ケア,20-45,3-4,暖色・鏡前,少・ささやきVO,中,小声VO+ASMR,10-15,無言,K-beautyのGRWM文法をそのまま夜へ。商品が『最後のひと手間』として自然,4,中,GRWM 30-45秒がK-beauty最強（Draper/Beautyshop）,型（公開レポート再構成）
AD042,A09,GRWM／ナイト版 Get Un-ready,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,メイク落とし/髪をほどく冒頭,『今日8時間立ってた人』のテロップ+足元,解除の連続→最後に脚ケア,20-45,3-4,暖色・鏡前,少・ささやきVO,中,小声VO+ASMR,10-15,無言,K-beautyのGRWM文法をそのまま夜へ。商品が『最後のひと手間』として自然,4,中,GRWM 30-45秒がK-beauty最強（Draper/Beautyshop）,型（公開レポート再構成）
AD043,A09,GRWM／ナイト版 Get Un-ready,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,メイク落とし/髪をほどく冒頭,クッションのパフ音→頬に1回,解除の連続→最後に脚ケア,20-45,3-4,暖色・鏡前,少・ささやきVO,中,小声VO+ASMR,10-15,無言,K-beautyのGRWM文法をそのまま夜へ。商品が『最後のひと手間』として自然,4,中,GRWM 30-45秒がK-beauty最強（Draper/Beautyshop）,型（公開レポート再構成）
AD044,A09,GRWM／ナイト版 Get Un-ready,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,メイク落とし/髪をほどく冒頭,ランプを点ける手→『おつかれ』,解除の連続→最後に脚ケア,20-45,3-4,暖色・鏡前,少・ささやきVO,中,小声VO+ASMR,10-15,無言,K-beautyのGRWM文法をそのまま夜へ。商品が『最後のひと手間』として自然,4,中,GRWM 30-45秒がK-beauty最強（Draper/Beautyshop）,型（公開レポート再構成）
AD045,A09,GRWM／ナイト版 Get Un-ready,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,メイク落とし/髪をほどく冒頭,湯気/バブルの音→肩の力が抜ける,解除の連続→最後に脚ケア,20-45,3-4,暖色・鏡前,少・ささやきVO,中,小声VO+ASMR,10-15,無言,K-beautyのGRWM文法をそのまま夜へ。商品が『最後のひと手間』として自然,4,中,GRWM 30-45秒がK-beauty最強（Draper/Beautyshop）,型（公開レポート再構成）
AD046,A10,30日チャレンジ体,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,『30日続けてみた』テロップ,『3日でこれ』の肌アップ→巻き戻し,日付カウント→変化（表情/習慣）→まとめ,15-30,4-5,一定（同じ場所で撮る）,日付大きく,速,ナレーション,1,次回予告,継続の物語。ただし身体変化を見せると薬機NG。『習慣化』の変化に限定,3,高,results timeline（adlibrary）,型（公開レポート再構成）
AD047,A10,30日チャレンジ体,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,『30日続けてみた』テロップ,『今日8時間立ってた人』のテロップ+足元,日付カウント→変化（表情/習慣）→まとめ,15-30,4-5,一定（同じ場所で撮る）,日付大きく,速,ナレーション,1,次回予告,継続の物語。ただし身体変化を見せると薬機NG。『習慣化』の変化に限定,3,高,results timeline（adlibrary）,型（公開レポート再構成）
AD048,A10,30日チャレンジ体,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,『30日続けてみた』テロップ,クッションのパフ音→頬に1回,日付カウント→変化（表情/習慣）→まとめ,15-30,4-5,一定（同じ場所で撮る）,日付大きく,速,ナレーション,1,次回予告,継続の物語。ただし身体変化を見せると薬機NG。『習慣化』の変化に限定,3,高,results timeline（adlibrary）,型（公開レポート再構成）
AD049,A10,30日チャレンジ体,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,『30日続けてみた』テロップ,ランプを点ける手→『おつかれ』,日付カウント→変化（表情/習慣）→まとめ,15-30,4-5,一定（同じ場所で撮る）,日付大きく,速,ナレーション,1,次回予告,継続の物語。ただし身体変化を見せると薬機NG。『習慣化』の変化に限定,3,高,results timeline（adlibrary）,型（公開レポート再構成）
AD050,A10,30日チャレンジ体,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,『30日続けてみた』テロップ,湯気/バブルの音→肩の力が抜ける,日付カウント→変化（表情/習慣）→まとめ,15-30,4-5,一定（同じ場所で撮る）,日付大きく,速,ナレーション,1,次回予告,継続の物語。ただし身体変化を見せると薬機NG。『習慣化』の変化に限定,3,高,results timeline（adlibrary）,型（公開レポート再構成）
AD051,A11,反抗的推薦（Reluctant endorser）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,『正直ピンク系は買わない派だった』,『3日でこれ』の肌アップ→巻き戻し,疑い→試す→認める,15-20,2-3,自然光,本音テロップ,中,声,3-5,『まあ…良かった』,期待値を下げてから上げる。刺さるが商品の「効果」に触れがち,3,高,reluctant endorser unboxing（adlibrary）,型（公開レポート再構成）
AD052,A11,反抗的推薦（Reluctant endorser）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,『正直ピンク系は買わない派だった』,『今日8時間立ってた人』のテロップ+足元,疑い→試す→認める,15-20,2-3,自然光,本音テロップ,中,声,3-5,『まあ…良かった』,期待値を下げてから上げる。刺さるが商品の「効果」に触れがち,3,高,reluctant endorser unboxing（adlibrary）,型（公開レポート再構成）
AD053,A11,反抗的推薦（Reluctant endorser）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,『正直ピンク系は買わない派だった』,クッションのパフ音→頬に1回,疑い→試す→認める,15-20,2-3,自然光,本音テロップ,中,声,3-5,『まあ…良かった』,期待値を下げてから上げる。刺さるが商品の「効果」に触れがち,3,高,reluctant endorser unboxing（adlibrary）,型（公開レポート再構成）
AD054,A11,反抗的推薦（Reluctant endorser）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,『正直ピンク系は買わない派だった』,ランプを点ける手→『おつかれ』,疑い→試す→認める,15-20,2-3,自然光,本音テロップ,中,声,3-5,『まあ…良かった』,期待値を下げてから上げる。刺さるが商品の「効果」に触れがち,3,高,reluctant endorser unboxing（adlibrary）,型（公開レポート再構成）
AD055,A11,反抗的推薦（Reluctant endorser）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,『正直ピンク系は買わない派だった』,湯気/バブルの音→肩の力が抜ける,疑い→試す→認める,15-20,2-3,自然光,本音テロップ,中,声,3-5,『まあ…良かった』,期待値を下げてから上げる。刺さるが商品の「効果」に触れがち,3,高,reluctant endorser unboxing（adlibrary）,型（公開レポート再構成）
AD056,A12,デモ先出し（Demo-first）,スキンケア（韓国コスメ中心）,TikTok/Reels（9:16）,使ってる手元を0秒。説明ゼロ,『3日でこれ』の肌アップ→巻き戻し,デモ→一言→デモ→締め,8-12,3,高キー・清潔,1語,速,SE+BGM,0,英語1行,説明を待たない層に効く,4,低,demo-first reveal（adlibrary）,型（公開レポート再構成）
AD057,A12,デモ先出し（Demo-first）,ボディ・脚ケア（クリーム/ジェル）,TikTok/Reels（9:16）,使ってる手元を0秒。説明ゼロ,『今日8時間立ってた人』のテロップ+足元,デモ→一言→デモ→締め,8-12,3,高キー・清潔,1語,速,SE+BGM,0,英語1行,説明を待たない層に効く,4,低,demo-first reveal（adlibrary）,型（公開レポート再構成）
AD058,A12,デモ先出し（Demo-first）,K-beauty（クッション/リップ/スージング）,TikTok/Reels（9:16）,使ってる手元を0秒。説明ゼロ,クッションのパフ音→頬に1回,デモ→一言→デモ→締め,8-12,3,高キー・清潔,1語,速,SE+BGM,0,英語1行,説明を待たない層に効く,4,低,demo-first reveal（adlibrary）,型（公開レポート再構成）
AD059,A12,デモ先出し（Demo-first）,セルフケア・ナイトルーティン全般,TikTok/Reels（9:16）,使ってる手元を0秒。説明ゼロ,ランプを点ける手→『おつかれ』,デモ→一言→デモ→締め,8-12,3,高キー・清潔,1語,速,SE+BGM,0,英語1行,説明を待たない層に効く,4,低,demo-first reveal（adlibrary）,型（公開レポート再構成）
AD060,A12,デモ先出し（Demo-first）,リラックス・マッサージ・バスタイム,TikTok/Reels（9:16）,使ってる手元を0秒。説明ゼロ,湯気/バブルの音→肩の力が抜ける,デモ→一言→デモ→締め,8-12,3,高キー・清潔,1語,速,SE+BGM,0,英語1行,説明を待たない層に効く,4,低,demo-first reveal（adlibrary）,型（公開レポート再構成）
